subject,window,window_index,status,status_name,label_major,t_start_sec,t_end_sec,major_ratio,bvp_missing_ratio,acc_missing_ratio,missing_flag,flatline_flag,clipping_ratio,clipping_flag,n_peaks,peak_sparse_flag,ibi_pass_ratio,valid_beat_ratio,ibi_plausibility,ibi_mean_sec,median_template_corr,notch_foot_peak_detectability,acc_diff_mean,acc_diff_exceed_ratio,acc_diff_flag,psd_corr_x,psd_corr_y,psd_corr_z,psd_corr_mag,psd_corr_max,psd_corr_flag,motion_score_raw,motion_score,SQI_stress_basic,SQI_stress_morph,hard_reject,motion_threshold_subject_p80,qc_relaxed_pass,TPV22,TPV9,TPV4,TPV2,TPV0,TPV28,TPV8,TPV19,TPV14,TPV26,TPV11
S10,window1,1,0,baseline,1,120.0,180.0,1.0,0.0,0.0,0,0,0.021614583333333333,0,91,0,1.0,0.7666666666666667,1.0,0.6638888888888889,0.9635779305576437,1.0,0.47646141052246094,0.5033871808233454,1,0.7440919792622503,0.8276812172509204,0.655674290554356,0.7017147796105332,0.8276812172509204,0,0.5780583620071411,0.5780583620071411,0.7379342096332457,0.34283612063226987,1,1.0,0,966.0,0.004934976808726788,0.006088683381676674,0.041483014822006226,0.0353943295776844,0.008681662380695343,0.0018992293626070023,0.014323255978524685,0.01191931962966919,5.8615617752075195,26.198123931884766
S10,window2,2,0,baseline,1,180.0,240.0,1.0,0.0,0.0,0,0,0.02109375,0,95,0,1.0,0.8723404255319149,1.0,0.6316489361702128,0.9886541711816459,1.0,0.4095671474933624,0.27670661803022406,1,0.771530647332469,0.7957953505463166,0.6559857837557562,0.6145144968373115,0.7957953505463166,0,0.6646443605422974,0.6646443605422974,0.77906798551303,0.29422130991268847,1,1.0,0,906.0,0.0031651135068386793,0.005492926109582186,0.041281234472990036,0.03578830882906914,0.00845411792397499,0.001249758992344141,0.010401163250207901,0.008754448033869267,5.543713092803955,31.082847595214844
S10,window3,3,0,baseline,1,240.0,300.0,1.0,0.0,0.0,0,0,0.022135416666666668,0,98,0,1.0,0.8969072164948454,1.0,0.6121134020618557,0.9848194924972908,0.9989602565765381,0.1936546117067337,0.273058884835852,1,0.6824516176650709,0.46531476818075507,0.618098293549804,0.03359684106281325,0.6824516176650709,0,0.21213339269161224,0.21213339269161224,0.8329953950779642,0.7528837095252985,1,1.0,0,937.0,0.005692636594176292,0.006687209475785494,0.04258033633232117,0.03589312732219696,0.009086370468139648,0.0025711767375469208,0.023419246077537537,0.01917652226984501,5.85935640335083,65.9618911743164
S10,window4,4,0,baseline,1,300.0,360.0,1.0,0.0,0.0,0,0,0.020572916666666666,0,97,0,1.0,0.90625,1.0,0.6188151041666666,0.9651828104953686,1.0,0.46121054887771606,0.5184992183428869,1,0.562681124193753,0.7071582952325448,0.5177532580735291,0.4648058025633163,0.7071582952325448,0,0.773216724395752,0.773216724395752,0.7747331707090354,0.18995397822809013,1,1.0,0,959.0,0.00472658546641469,0.005648395512253046,0.0423758439719677,0.03672744706273079,0.0076962970197200775,0.0021863612346351147,0.01755165122449398,0.014470333233475685,5.852874279022217,64.34534454345703
S10,window5,5,0,baseline,1,360.0,420.0,1.0,0.0,0.0,0,0,0.021614583333333333,0,96,0,1.0,0.7789473684210526,1.0,0.6223684210526316,0.9325638457652036,0.9581897854804993,0.55794358253479,0.4919228764981761,1,0.7820360075711055,0.7024149392159098,0.5938166505096393,0.6720271131485873,0.7820360075711055,0,0.6778569221496582,0.6778569221496582,0.7235624088830164,0.2285156961880832,1,1.0,0,944.0,0.0032368963584303856,0.005209426861256361,0.038413356989622116,0.03320392966270447,0.007909943349659443,0.0013262471184134483,0.009509420022368431,0.007900269702076912,5.6092376708984375,69.71685028076172
S10,window6,6,0,baseline,1,420.0,480.0,1.0,0.0,0.0,0,0,0.02265625,0,103,0,1.0,0.8725490196078431,1.0,0.5776654411764706,0.9711584430206817,0.9917521476745605,0.6060914993286133,0.5372589890568004,1,0.6825923855519483,0.6540862484105958,0.5971133992253062,0.6521459804529243,0.6825923855519483,0,0.7205711007118225,0.7205711007118225,0.7683100306781596,0.23192125284434106,1,1.0,0,912.0,0.0036741001531481743,0.006470044143497944,0.039569005370140076,0.033098962157964706,0.00982994120568037,0.0016117615159600973,0.011869283393025398,0.01008760929107666,5.528491973876953,63.41962432861328
S10,window7,7,0,baseline,1,480.0,540.0,1.0,0.0,0.0,0,0,0.021614583333333333,0,86,0,0.9764705882352941,0.7529411764705882,0.9764705882352941,0.6996323529411764,0.7756971086805947,0.9753425717353821,0.6662099361419678,0.539343408025013,1,0.8743428465316754,0.8211332218391239,0.8451495779804903,0.8529058101195919,0.8743428465316754,0,1.0090755224227905,1.0,0.6291797208394726,-0.1410636093077705,1,1.0,0,923.0,0.003486462403088808,0.005891655571758747,0.039347633719444275,0.0334559790790081,0.008983918465673923,0.0014670444652438164,0.009570145979523659,0.007753108628094196,5.591190814971924,27.36176300048828
S10,window8,8,0,baseline,1,540.0,600.0,1.0,0.0,0.0,0,0,0.021614583333333333,0,100,0,1.0,0.9494949494949495,1.0,0.601010101010101,0.9774795144653745,1.0,0.8464753031730652,0.5888483585200626,1,0.7018557188783832,0.8451775909627746,0.7101330233550514,0.43261886758551965,0.8451775909627746,0,1.3975465297698975,1.0,0.7730418341375921,-0.02078163653517162,1,1.0,0,912.0,0.004607201088219881,0.0073371934704482555,0.046195343136787415,0.03885814920067787,0.010878224857151508,0.0020905365236103535,0.016417507082223892,0.013740302994847298,5.567196369171143,72.10059356689453
S10,window9,9,0,baseline,1,600.0,660.0,1.0,0.0,0.0,0,0,0.021614583333333333,0,99,0,1.0,0.8163265306122449,1.0,0.6050701530612245,0.9376922280487883,0.9743512272834778,1.3079230785369873,0.6873371547681084,1,0.7327496897886144,0.8492226187767775,0.7766334024183418,0.6352258191681501,0.8492226187767775,0,1.9325796365737915,1.0,0.7078382806595344,-0.07709117698326007,1,1.0,0,986.0,0.00511928042396903,0.005832575261592865,0.0403405986726284,0.03450802341103554,0.008056261576712132,0.0020830980502068996,0.01716695912182331,0.014316128566861153,5.930973052978516,77.78238677978516
S10,window10,10,0,baseline,1,660.0,720.0,1.0,0.0,0.0,0,0,0.021614583333333333,0,98,0,1.0,0.7525773195876289,1.0,0.6101804123711341,0.8926521234023201,0.973407506942749,1.3151967525482178,0.7321521625846795,1,0.7235647286873154,0.6191310465095939,0.7106117636785043,0.5327675782773367,0.7235647286873154,0,1.991370677947998,1.0,0.6688265648557475,-0.10771189653744406,1,1.0,0,942.0,0.007936885580420494,0.007925543002784252,0.05093822255730629,0.04301268234848976,0.010451791808009148,0.0032179546542465687,0.024327516555786133,0.020280376076698303,5.963369846343994,167.0305633544922
