subject,window,window_index,status,status_name,label_major,phase,t_start_sec,t_end_sec,major_ratio,subject_total_duration_sec,task4_duration_sec,bvp_missing_ratio,acc_missing_ratio,missing_flag,flatline_flag,clipping_ratio,clipping_flag,n_peaks,peak_sparse_flag,ibi_pass_ratio,valid_beat_ratio,ibi_plausibility,ibi_mean_sec,median_template_corr,notch_foot_peak_detectability,acc_diff_mean,acc_diff_exceed_ratio,acc_diff_flag,psd_corr_x,psd_corr_y,psd_corr_z,psd_corr_mag,psd_corr_max,psd_corr_flag,motion_score_raw,motion_score,SQI_stress_basic,SQI_stress_morph,hard_reject,motion_threshold_subject_p80,qc_relaxed_pass,TPV22,TPV9,TPV4,TPV2,TPV0,TPV28,TPV8,TPV19,TPV14,TPV26,TPV11
subject_01,window1,1,0,normal,0,Rest1,0.0,60.0,1.0,2505.765625,585.765625,0.0,0.0,0,0,0.02109375,0,76,0,0.9866666666666667,0.72,0.9866666666666667,0.7785416666666667,0.7324896495932336,1.0,0.7016353607177734,0.6951537258989057,1,0.7718094797593528,0.6729319450502572,0.751175609645565,0.8697494268604116,0.8697494268604116,0,1.0155315399169922,1.0,0.6050802282113035,-0.15354425426835827,1,1.0,0,951.0,0.0057289558462798595,0.007671196013689041,0.05015943944454193,0.04248824343085289,0.010966538451611996,0.0026065371930599213,0.019525175914168358,0.015873031690716743,5.76894474029541,55.814598083496094
subject_01,window2,2,0,normal,0,Rest1,60.0,120.0,1.0,2505.765625,585.765625,0.0,0.0,0,0,0.021614583333333333,0,85,0,1.0,0.6904761904761905,1.0,0.6940104166666666,0.7577228767658202,0.9930073618888855,0.832238495349884,0.7561229807191245,1,0.5465788686280403,0.802527866806664,0.7666294089723334,0.062379738404760764,0.802527866806664,0,1.5473744869232178,1.0,0.6035073392202223,-0.15517458319346644,1,1.0,0,893.0,0.006027578841894865,0.007071075960993767,0.04232661426067352,0.035255540162324905,0.009443212300539017,0.002805843949317932,0.022267073392868042,0.01867319457232952,5.850667476654053,160.94888305664062
subject_01,window3,3,0,normal,0,Rest1,120.0,180.0,1.0,2505.765625,585.765625,0.0,0.0,0,0,0.022395833333333334,0,77,0,0.9736842105263158,0.7631578947368421,0.9736842105263158,0.7730263157894737,0.9085293717867534,1.0,0.47045665979385376,0.5737363210005211,1,0.7856825527700797,0.547473454383967,0.29908094385192285,-0.03409402413930607,0.7856825527700797,0,0.5603705644607544,0.5603705644607544,0.7165217550899506,0.34044598901224976,1,1.0,0,874.0,0.0041379984468221664,0.0058760796673595905,0.039294417947530746,0.03341833874583244,0.008328312076628208,0.0019747328478842974,0.015738919377326965,0.013314686715602875,5.718089580535889,47.0494270324707
subject_01,window4,4,1,stress,1,Task1,180.0,240.0,1.0,2505.765625,585.765625,0.0,0.0,0,0,0.022135416666666668,0,84,0,1.0,0.5301204819277109,1.0,0.7170557228915663,0.7217727471475588,0.784578412771225,2.5729470252990723,0.9171443460135488,1,0.8112111914318332,0.8173406521844615,0.8325550011133124,0.6704551115365309,0.8325550011133124,0,3.1777241230010986,1.0,0.528580016915352,-0.2643760654419909,1,1.0,0,900.0,0.008369417861104012,0.007353420834988356,0.04289931803941727,0.03554590046405792,0.008966759778559208,0.0036193514242768288,0.032989080995321274,0.026676082983613014,6.12858247756958,22.765243530273438
subject_01,window5,5,1,stress,1,Task1,240.0,300.0,1.0,2505.765625,585.765625,0.0,0.0,0,0,0.021614583333333333,0,77,0,0.9736842105263158,0.5657894736842105,0.9736842105263158,0.780016447368421,0.7644567392000998,0.8998068869113922,1.8529787063598633,0.8832725377800938,1,0.7786440462324323,0.8593166758085985,0.8113648297653783,0.29743139479125985,0.8593166758085985,0,2.288879871368408,1.0,0.5503896533389774,-0.2194604092616006,1,1.0,0,961.0,0.006542873568832874,0.006739593576639891,0.046344906091690063,0.039605312049388885,0.008639952167868614,0.0029310937970876694,0.025755740702152252,0.020877676084637642,6.062113285064697,46.18661880493164
subject_01,window6,6,1,stress,1,Task1,300.0,360.0,1.0,2505.765625,585.765625,0.0,0.0,0,0,0.021614583333333333,0,79,0,1.0,0.8205128205128205,1.0,0.7620192307692307,0.9450745649689549,1.0,0.9456955790519714,0.7561229807191245,1,0.8270029280595144,0.8716301440200569,0.8273520005168543,0.48482901894658254,0.8716301440200569,0,1.5505162477493286,1.0,0.7117274976958147,-0.06757751260391509,1,1.0,0,918.0,0.005990315228700638,0.006775894667953253,0.046201400458812714,0.039425503462553024,0.009455213323235512,0.0024576536379754543,0.019877947866916656,0.016847100108861923,5.800380706787109,81.71673583984375
subject_01,window7,7,1,stress,1,Task1,360.0,420.0,1.0,2505.765625,585.765625,0.0,0.0,0,0,0.021614583333333333,0,79,0,1.0,0.5897435897435898,1.0,0.7562099358974359,0.751336985691918,0.8478096723556519,1.4812297821044922,0.8738926524231371,1,0.7625370463547269,0.8537668136778576,0.8041815729324784,0.48427540721082685,0.8537668136778576,0,1.9827995300292969,1.0,0.5612985316050113,-0.2232902585650306,1,1.0,0,962.0,0.006639863830059767,0.006569223012775183,0.046219758689403534,0.03965053707361221,0.008119301870465279,0.0032717734575271606,0.02561267465353012,0.021298879757523537,6.099339485168457,204.9229278564453
subject_01,window8,8,1,stress,1,Task1,420.0,480.0,1.0,2505.765625,585.765625,0.0,0.0,0,0,0.021614583333333333,0,78,0,1.0,0.6883116883116883,1.0,0.7568993506493507,0.8356602930588557,0.950747162103653,0.9545824527740479,0.8650338718082334,1,0.6609619790944284,0.8006926822759806,0.8583267616441815,0.5904027754856048,0.8583267616441815,0,1.2362651824951172,1.0,0.626022763242332,-0.14690462971586626,1,1.0,0,968.0,0.006821906194090843,0.006862984970211983,0.043657150119543076,0.036794163286685944,0.00777679355815053,0.003982393071055412,0.030267462134361267,0.024884939193725586,6.292663097381592,28.182781219482422
subject_01,window9,9,1,stress,1,Task1,480.0,540.0,1.0,2505.765625,585.765625,0.0,0.0,0,0,0.02109375,0,83,0,1.0,0.6341463414634146,1.0,0.7214176829268293,0.8089060614609315,0.8216312527656555,0.7336149215698242,0.7159979155810318,1,0.6064120684596113,0.41681173322297527,0.5811752424382758,0.3629046338107249,0.6064120684596113,0,1.0258615016937256,1.0,0.5963303550236453,-0.20212176900432888,1,1.0,0,924.0,0.00745705422013998,0.006977632641792297,0.04339352622628212,0.03641589358448982,0.008558956906199455,0.003405604511499405,0.028413213789463043,0.02354935184121132,6.124711513519287,64.66278076171875
subject_01,window10,10,1,stress,1,Task1,540.0,600.0,1.0,2505.765625,585.765625,0.0,0.0,0,0,0.023697916666666666,0,80,0,1.0,0.6962025316455697,1.0,0.7541534810126582,0.7615713605862915,0.7768246531486511,1.209604263305664,0.7649817613340282,1,0.8159839766946262,0.7677495887039494,0.7155857439258351,0.7850630495783821,0.8159839766946262,0,1.7182961702346802,1.0,0.6069524208341154,-0.2065402370725935,1,1.0,0,948.0,0.007579759228974581,0.007171065080910921,0.04611942544579506,0.038948360830545425,0.008440835401415825,0.003974825609475374,0.0321488082408905,0.025947099551558495,6.1851277351379395,213.55364990234375
