subject,window,window_index,status,status_name,label_major,t_start_sec,t_end_sec,major_ratio,EDA_mean,EDA_std,EDA_min,EDA_max,EDA_median,EDA_iqr,EDA_skew,EDA_kurtosis,EDA_slope,EDA_range,EDA_diff_mean,EDA_diff_std,EDA_num_peaks,EDA_peak_mean,EDA_peak_max
S10,window1,1,0,baseline,1,120.0,180.0,1.0,0.38308075070381165,0.013742437586188316,0.36840200424194336,0.43108201026916504,0.3786360025405884,0.0038380026817321777,2.354966878890991,4.335737228393555,-0.000463950954124506,0.06268000602722168,0.0022159339860081673,0.00322509091347456,38,0.3846612870693207,0.4285230040550232
S10,window2,2,0,baseline,1,180.0,240.0,1.0,0.37888088822364807,0.0039038124959915876,0.3696810007095337,0.4016610085964203,0.3786360025405884,0.0025590062141418457,2.097054958343506,9.26806926727295,-7.748659923611929e-05,0.0319800078868866,0.002103442093357444,0.0033476788084954023,43,0.3806585669517517,0.4016610085964203
S10,window3,3,0,baseline,1,240.0,300.0,1.0,0.38117262721061707,0.007077036891132593,0.3696810007095337,0.41701099276542664,0.3786360025405884,0.008955001831054688,2.007734537124634,5.6496076583862305,0.0002760496433870783,0.047329992055892944,0.0024353470653295517,0.004160973243415356,42,0.3839351236820221,0.41701099276542664
S10,window4,4,0,baseline,1,300.0,360.0,1.0,0.3905639946460724,0.005376928951591253,0.37607699632644653,0.40805700421333313,0.39014801383018494,0.008954018354415894,0.11830335110425949,-0.705939531326294,-0.0002178921939333313,0.0319800078868866,0.0021676577161997557,0.0036470878403633833,43,0.3928256034851074,0.40805700421333313
S10,window5,5,0,baseline,1,360.0,420.0,1.0,0.38005340099334717,0.007115058600902557,0.36456501483917236,0.4477109909057617,0.3799149990081787,0.007674992084503174,3.674337148666382,33.27263641357422,-0.00021515096841407799,0.08314597606658936,0.0029276639688760042,0.007933341898024082,44,0.38369429111480713,0.4477109909057617
S10,window6,6,0,baseline,1,420.0,480.0,1.0,0.3755175769329071,0.0034432990942150354,0.367123007774353,0.3939859867095947,0.37607699632644653,0.003836989402770996,1.1053094863891602,5.437854766845703,4.76119274020913e-05,0.0268629789352417,0.0020070397295057774,0.0033086237963289022,42,0.3779655396938324,0.3939859867095947
S10,window7,7,0,baseline,1,480.0,540.0,1.0,0.396336168050766,0.008502185344696045,0.37351900339126587,0.40933600068092346,0.40038201212882996,0.012791991233825684,-0.6747255921363831,-0.8260171413421631,-6.56410254679469e-05,0.03581699728965759,0.0024994707200676203,0.004030611831694841,40,0.39942222833633423,0.40933600068092346
S10,window8,8,0,baseline,1,540.0,600.0,1.0,0.39685317873954773,0.002895795041695237,0.3875899910926819,0.40421900153160095,0.3965440094470978,0.003836989402770996,-0.48375070095062256,-0.09621715545654297,5.151818483831659e-05,0.016629010438919067,0.0020284780766814947,0.0029265531338751316,37,0.3988949656486511,0.40421900153160095
S10,window9,9,0,baseline,1,600.0,660.0,1.0,0.4026627242565155,0.006220072973519564,0.37735599279403687,0.4336400032043457,0.40421900153160095,0.007674992084503174,-0.8811543583869934,4.754616737365723,0.00010425982002326241,0.05628401041030884,0.00253699510358274,0.004683561623096466,38,0.4061715006828308,0.4336400032043457
S10,window10,10,0,baseline,1,660.0,720.0,1.0,0.41254979372024536,0.00857781432569027,0.3850319981575012,0.4336400032043457,0.41445299983024597,0.01151198148727417,-0.9325931668281555,0.492891788482666,0.00038703468107146796,0.04860800504684448,0.0026868279092013836,0.00505437096580863,38,0.4156307280063629,0.4336400032043457
